Posture,Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z,Mag_X,Mag_Y,Mag_Z
side,-0.02,-1.00,0.18,1.40,0.37,-0.43,-27.00,4.00,19.00
side,-0.02,-1.00,0.18,-2.44,0.18,0.37,-27.00,0.00,21.00
side,-0.02,-1.00,0.18,0.31,0.12,-0.31,-26.00,5.00,17.00
side,-0.01,-0.99,0.19,-4.39,0.55,0.55,-25.00,1.00,21.00
side,-0.01,-0.99,0.20,-0.67,1.22,0.18,-23.00,2.00,21.00
side,-0.01,-0.99,0.20,0.31,0.18,-0.06,-27.00,6.00,22.00
side,-0.01,-0.99,0.20,0.37,0.06,-0.06,-27.00,1.00,15.00
side,-0.01,-0.99,0.20,1.04,0.12,-0.24,-27.00,1.00,19.00
side,-0.01,-0.99,0.20,-1.28,-0.06,0.06,-25.00,3.00,17.00
side,-0.01,-0.99,0.20,0.61,0.00,-0.37,-24.00,2.00,23.00
side,-0.01,-0.99,0.20,-0.18,0.06,-0.06,-27.00,0.00,23.00
side,-0.01,-0.99,0.19,2.44,0.18,-0.31,-28.00,4.00,22.00
side,-0.01,-0.99,0.20,0.00,0.24,-0.18,-28.00,1.00,21.00
side,-0.01,-0.99,0.20,-0.24,0.31,0.00,-26.00,3.00,20.00
side,-0.01,-0.99,0.20,-0.55,0.24,-0.06,-26.00,4.00,25.00
side,-0.01,-0.99,0.20,-1.10,0.00,0.00,-27.00,4.00,18.00
side,-0.01,-0.99,0.20,0.31,0.24,-0.12,-27.00,2.00,23.00
side,-0.01,-0.99,0.20,-0.49,0.06,0.00,-26.00,1.00,25.00
side,-0.01,-0.99,0.19,2.01,0.55,-0.37,-28.00,3.00,12.00
side,-0.01,-0.99,0.19,-2.14,0.12,0.18,-29.00,4.00,20.00
side,-0.01,-0.99,0.20,-0.92,0.61,0.00,-26.00,3.00,21.00
side,-0.01,-0.99,0.20,0.31,0.49,-0.24,-27.00,1.00,20.00
side,-0.01,-0.99,0.18,1.04,0.79,-0.31,-26.00,4.00,17.00
side,-0.01,-0.99,0.19,-1.22,0.55,0.18,-29.00,1.00,21.00
